,title,body
0,French-Japanese designer Kenzo Takada dies at 81,"

     In this file photo taken on March 13, 1998 Japanese fashion designer Kenzo, center, salutes the audience at the end of his's ready-to-wear fall/winter 1998-99 collection presentation in Paris. The founder of the Kenzo fashion house, Kenzo Takada, has died from Covid-19, his spokesperson announced in Paris on Sunday. [AFP/YONHAP]               PARIS — Kenzo Takada, the iconic French-Japanese fashion designer famed for his jungle-infused designs and free-spirited aesthetic that channeled global travel, has died. He was 81.           The family said in a statement to French media Sunday that Takada died from complications from Covid-19 in a hospital in Neuilly-sur-Seine, near Paris. A public relations officer for Kenzo's brand confirmed that Takada died, but didn't give a cause of death.           ""It is with immense sadness that KENZO has learned of the passing of our founder,"" the fashion house said in a statement. ""For half a century, Mr. Takada has been an emblematic personality in the fashion industry — always infusing creativity and color into the world.""           Takada's death came at the tail end of Paris Fashion Week, whose nine-day calendar is undertaking an unusual fashion season for spring-summer 2021 because of the coronavirus pandemic. It was only days ago that the Kenzo fashion house unveiled its bee-themed collection here.           Though Takada had been retired from his house since 1999 to pursue a career in art, Kenzo remains one of the most respected fixtures of high Paris fashion. Since 1993, the Kenzo brand has been owned by the French luxury goods company LVMH.            ""His amazing energy, kindness, talent and smile were contagious,"" said Kenzo artistic director Felipe Oliveira Baptista, who unveiled the bee-themed collection to fashion editors Wednesday. ""His kindred spirit will live forever.""           Kenzo's styles used bold colors, clashing prints and were inspired by travels all over the world.           ""Kenzo Takada has, from the 1970s, infused into fashion a tone of poetic lightness and sweet freedom which inspired many designers after him,"" said Bernard Arnault, chairman and chief executive of LVMH.           Takada was born on Feb. 27, 1939, in Himeji, in the Hyogo Prefecture in Japan to hoteliers, but after reading his sisters' fashion magazines his love of fashion began.           Studying at the Bunka College of Fashion in Tokyo, Kenzo Takada had a brief stint working in Japan, before relocating to Paris in 1965, to work as a freelance designer.           In Paris, he took over a boutique in 1970 and crystallized his future ready-to-wear aesthetic inspired in its decoration by the jungle scenes of painter Henri Rousseau, which he merged with Asian styles. It became influential.            But they were lowly beginnings: Takada's first collection at the store was made entirely out of cotton because he had little money. But the clothes spoke for themselves and a model of his was put on the cover of Elle magazine. A short time after, pioneering shoulder forms, large armholes, dungarees, smock tent dresses, innovative shoulder shapes, and his store was featured in U.S. Vogue. Kenzo showed collections in New York and Tokyo in 1971.           Yves Saint Laurent was an important inspiration in his work, Takada has said. Takada shared Saint Laurent's penchant for theatrics. in 1978 and 1979, he showed in a circus tent, and it featured himself riding an elephant, and performers rode horses wearing see-through uniforms.           Takada's love of travel and use of ethnic influences were strong features in his three decades atop his house.           His contribution to style was significant. He championed a youthful aesthetic and unstructured form, and did away with zippers to liberate silhouettes. His signatures were of wider sleeves and armholes, that harked to historic styles in his home continent of Asia.           AP   "
1,Ruling party floats alternative military service for BTS members,"

     In this file photo, members of K-pop group BTS pose with President Moon Jae-in during the Youth Day ceremony at the Blue House on Sept. 19, 2020.  [YONHAP]                The ruling party on Monday floated the possibility of offering the members of K-pop group BTS an alternative to their required military service as a thank-you for the boy band's massive economic and cultural impact.             “We are expecting to see 60 trillion won [$51.7 billion] worth of economic gains over a decade — 6 trillion won alone for this year — from the K-pop stars of BTS,” Rep. Noh Woong-rae, a member of the Supreme Council of the ruling Democratic Party (DP), said during the Monday leadership meeting.             “When BTS topped the Billboard Hot 100, we saw about 1.7 trillion won in economic effects,” he continued. “Their role in boosting Korea’s prestige to the world is impossible to measure. We must start a serious discussion on offering special arrangements for military conscription to its members.”             “Military duty is sacred, but not everyone has to hold a rifle,” Noh said. “Engineers, classic artists [and athletes] have alternative programs, but pop culture artists are not covered.”               Noh proposed that BTS be drafted for state projects such as a campaign to promote the Dokdo islets — a disputed territory to which Japan lays competing claims — to the international community in exchange for serving their military duty traditionally.             Offering a special volunteer program to replace conscription for pop artists such as BTS members would require a revision to the Military Service Act.           As of now, the government offers alternative programs to classic artists, athletes, engineers, scientists and technology researchers to utilize their talents. They serve in various volunteer programs if they possess certain qualifications.             Athletes who won Olympic medals or gold medals in the Asian Games are granted exemptions from military service. Award-winning classical artists, such as pianists and directors, are also eligible for exemptions.             Last month, the DP proposed a bill to revise the Military Service Act to allow pop artists to delay their enlistments. The bill, sponsored by Rep. Jeon Yong-gi, is currently pending before the National Assembly’s National Defense Committee.             “Allowing a chance to delay enlistment is completely different from giving an exemption or arranging a special program,” Jeon said at the time. “We must offer the young men whose careers peak in their 20s an option to delay their military service.”             Kim Seok-jin, also known by his stage name Jin, is the eldest member of BTS. Born in 1992, he must join the military by the end of 2021 under the current Military Service Act.             The conservative opposition People Power Party (PPP) said it agrees with the intention, but has stressed that the process must be fair.             When Jeon proposed the revision bill to the Military Service Act, Rep. Ha Tae-keung of the PPP posted a message on his Facebook and demanded an objective standard for selection.             “Can an idol singer delay his enlistment if he is chosen by the culture minister?” Ha wrote. “Is this a dictatorship? The ruling and opposition parties must form a consultative body to create a fair standard.”             Meanwhile, a series of public petitions have been filed to the Blue House’s bulletin board to seek special arrangements for BTS members. Some proposed an exemption, while many others asked for a delay or an alternate program to best utilize the K-pop stars’ talents.             None of them, however, collected enough signatures as of Monday to warrant a reply from the government. Petitions with more than 200,000 signatures receive an official response.             BY SER MYO-JA   [ser.myoja@joongang.co.kr]                       "
2,State asks for Chun to be jailed for 18 months,"

     Chun Doo Hwan, Korea's authoritarian leader of the 1980s, photographed in March 2019. Prosecutors recommended a one-and-half-year jail sentence for the ex-president. [YONHAP]               Prosecutors on Monday recommended a jail sentence of 18 months for Korea’s former strongman Chun Doo Hwan, two years after he was indicted for defaming a priest who penned a harrowing account of the bloody military crackdown on the 1980 Gwangju Uprising.             Monday was one of the final hearings in the high-profile trial involving the ex-president — who was jailed and pardoned in the 1990s on charges of conspiracy and insurrection — in what could be the last opportunity for survivors of the brutal suppression to get justice.             The unapologetic Chun, now 89, published a controversial three-volume memoir in 2017 that labeled the late activist Catholic priest Cho Chul-hyun a “shameless liar” and “Satan wearing a mask” for claiming soldiers commanded by Chun opened fire on pro-democracy demonstrators from a helicopter.            Cho, who died of cancer in 2016, was an eyewitness and participant in the uprising from May 18 to 27, 1980. He recollected his memories of the crackdown in a parliamentary hearing in 1989, testifying that machine gunfire from a helicopter was one of the various ways in which soldiers sent by Chun attempted to suppress the movement.             The exact number of casualties of that nine-day movement remains disputed, though it is believed to number in the hundreds.             The massacre was forever seared into public memory in Korea, and played an instrumental role in galvanizing underground movements that eventually forced the junta to concede to democratic presidential elections in 1987.             For decades, however, Chun has challenged the narrative of that movement, denying he ordered the crackdown and downplaying its brutality.             His memoir, a wholesale apology for his authoritarian presidency, showed his beliefs had not changed in spite of ample evidence to the contrary.             Within days of its publication, the family of the late priest filed a criminal complaint accusing Chun of defaming the dead, which is a crime in Korea. Chun was indicted by Gwangju prosecutors in 2018.             In apparent defiance, Chun refused to attend most hearings of his trial, citing poor health, including a claim that he suffers from Alzheimer’s disease. His most recent show in court was in April, when a judge required him to undergo an arraignment.             Given the slow pace of the trial, it is unclear when the former president’s sentencing will take place, with legal analysts divided as to whether it will be possible within this year.             Whatever the case, Chun will be forced to attend that final hearing, which will decide whether to put him back in jail more than two decades after his pardon.             BY SHIM KYU-SEOK   [shim.kyuseok@joongang.co.kr]    "
3,Gov't keeps pushing for higher debt-to-GDP ceiling,"

     Finance Minister Hong Nam-ki, second from left, explains the fiscal rule during a press briefing held at Sejong government complex on Monday. [YONHAP]               The government said it favored a new guideline restricting the national debt to 60 percent of Korea's GDP.           But it wouldn't be legally binding, won't come into effect until at least 2025 and is far above a debt limit that has been respected by Korean governments for years, which is 40 percent of GDP.           The Finance Ministry said Monday it is planning to adopt a new fiscal rule that will give it more freedom to execute aggressive fiscal policies.           “In the world, 92 countries have fiscal rules,” Finance Minster Hong Nam-ki said. “Among advanced economies, Korea and Turkey are the only ones that don’t.”             A debt-to-GDP ceiling prevents governments from spending too much and adding risk to an economy.           The Finance Ministry said the 60 percent limit will not be a legal requirement and therefore could be applied flexibly, meaning that in a crisis situation the government could exceed the ceiling.             The maximum limit will be relaxed in times of major crisis including war, natural disaster or a global economic crisis, the ministry said.            “We have put into consideration [in the new standard] the role of fiscal policy not being constrained in times of unusual circumstances such as an economic crisis,” Hong said.             The idea of creating a fiscal rule arose in May when the government was working on a third supplementary budget that raised Korea's debt ratio to above 40 percent of its GDP.            Since at least the Lee Myung-bak adminstration, the general consensus was that the debt limit should be 40 percent of GDP, which the Finance Ministry concurred with.             A ratio exceeding 40 percent was believed to put Korea's fiscal soundness at risk.           In an early stage of the coronavirus outbreak, President Moon Jae-in ordered the Finance Ministry to disregard the 40 percent barrier citing the emergency situation.             In late May, Moon argued that Korea’s debt-to-GDP ratio was far lower than the Organisation for Economic Cooperation and Development (OECD) member country’s average of 110 percent.             The ruling Democratic Party, when preparing the third supplementary budget in May, argued that the government should not be held to the 40 percent ratio but should consider raising it to 60 percent.           With four supplementary budgets approved, the national debt-to-GDP ratio has been raised to nearly 43.9 percent.           BY LEE HO-JEONG   [lee.hojeong@joongang.co.kr]   "
4,Shinsegae opens Starfield in Anseong,"

     Starfield Anseong               Shinsegae Property is opening a new Starfield shopping complex in Anseong, Gyeonggi, on Wednesday.           Jointly invested in by U.S.-based shopping mall developer Tubman, the fourth Starfield is the largest shopping complex in the southern part of Gyeonggi, according to Shinsegae Property.           The investment proportion between Shinsegae Property and Tubman is 51 percent to 49 percent.           Measuring 240,000 square meters (2.28 million square feet), the shopping complex has parking room for 5,000 vehicles. The five-storied building consists of two basement floors and three above-ground floors.           It is much larger than nearby shopping centers, including the Shinsegae Premium Outlet in Siheung, Gyeonggi, and Lotte Premium Outlet in Icheon, Gyeonggi.           The shopping complex will house numerous facilities and popular eateries, according to Shinsegae Property, including a 63-meter (207-feet) high observatory with views of a nearby forest and plaza.             Starfield Anseong is also designed to be pet-friendly. There is a park where customers can take their pets for a walk and eat together.           Shinsegae Property designed the complex to meet the needs of families with kids. A library, outdoor playground and waterpark are some of the facilities at Starfield Anseong.           The company said it intentionally opened the shopping complex after the Chuseok harvest holidays, which ended Sunday, to prevent large crowds over Covid-19 concerns. Preopening a big-box warehouse chain Traders last month was part of its effort to prevent crowds at the new Starfield.           “Following Starfield Hanam and Goyang, which support the east and west of the metropolitan area, Starfield Anseong, which will take care of the southern part of Gyeonggi, is finally opening amid the expectations of local residents,” said Shinsegae Property CEO Lim Young-rok.           BY JIN MIN-JI   [jin.minji@joongang.co.kr]   Related ArticleCoronavirus takes toll on Shinsegae unitsShinsegae and K-water to build a massive theme park"
5,Shortage of fresh tomatoes bugs burger chains,"

     Burger King’s announcement saying that they will offer more lettuce, onions and pickles instead of tomatoes in their burgers. [SCREEN CAPTURE]                After this summer’s unusually extended rainy season and multiple typhoons, burger chains are struggling amid a nationwide shortage of fresh tomatoes.           Burger chain Lotteria has started to serve burgers without tomatoes, for which they've reduced the price by 300 won ($0.26). Another big burger chain, McDonald's, offers customers a free-drink coupon in exchange for tomato-less burgers.           Burger King, the first fast-food chain to announce difficulties procuring tomatoes, has been compensating with more lettuce, onions and pickles.           According to burger franchises, it’s the first time in history that they've served burgers without tomatoes. The prolonged heavy rainfall coincided with the blossoming of tomato plants, causing the crops to get less sunlight than usual. And powerful typhoons this summer knocked down plants in the main tomato producing regions of Chuncheon, Cheorwon and Hwacheon in Gangwon.            According to the Korea Agro-Fisheries & Food Trade Corporation, the wholesale price of 10 kilograms (22 pounds) of tomatoes was about 62,660 won as of Sept. 25, a 110 percent hike compared to a month earlier. Prices were up by 99.6 percent compared with a month earlier.          “A growing number of farmers have been halting tomato production, as lots of their farms were hit by typhoons,” a tomato farmer in Gangwon said. “The prices of tomatoes are expected to keep on rising even after the Chuseok holidays.”           It is likely to take a while until burger chains are able to again serve burgers with tomatoes.           The Korea Rural Economic Institute predicted that the volume of tomatoes being shipped out in October will be reduced by 15 percent compared to a year before. The price of tomatoes will likely stabilize as early as November.           Burger franchises are not the only businesses affected.             “We decided to stop selling tomato juice, as the tomato prices had increased dramatically,” a man who runs a cafe in Gangnam District, southern Seoul, said. “We will also temporarily stop selling any food items containing tomatoes, such as sandwiches.”           Retailers are scrambling to secure orders of tomatoes.           Retailer Emart managed to secure 60 tons of tomatoes from Jangsu and Wanju, both in North Jeolla, to cover anticipated demand during the Chuseok holidays.           “Tomato prices have been reaching all-time highs due to the long rainy season and typhoons,” Koo Jae-hyun, who is in charge of purchasing tomatoes at Emart, said. “We’ve been trying hard to lower the unit prices of tomatoes by buying large quantities, as well as to secure any alternatives.”           Meanwhile, sales of other fruits and vegetables have risen.            According to Emart, avocado sales between Sept. 1 and Sept. 27 soared 120 percent compared to the same period last year. During the same period, sales of lettuce rose 80 percent while sales of frozen blueberries increased 45 percent. Apple sales increased by 22 percent, while broccoli rose by 25 percent and cucumbers by 15 percent.           BY KWAK JAE-MIN   [chea.sarah@joongang.co.kr]   "
6,Actor Yoo Yeon-seok takes on role in French film 'Matin Calme',"

     Actor Yoo Yeon-seok. [KING KONG BY STARSHIP ENTERTAINMENT]               Actor Yoo Yeon-seok will take on a role in French film “Matin Calme,” according to his agency King Kong by Starship on Monday.           The movie is about the investigation into the murder of a woman in Korea. Yoo takes on the role of a detective named Park Jin-ho.           To solve the case, he teams up with actor Olga Kurylenko who plays a forensic professor named Alice Lone.           French director Denis Dercourt, known for 2006 film “The Page Turner,” takes the helm.           BY LEE SUN-MIN   [summerlee@joongang.co.kr]   "
7,Lee Su-hyun of AKMU to release her first solo music,"

     A teaser image to signal the release of Lee Su-hyun of AKMU's first solo music. [YG ENTERTAINMENT]               YG Entertainment announced Monday that Lee Su-hyun of AKMU will release her first solo music with a teaser poster on its official blog. In the poster, an image of UFO driver’s license with Lee’s name is featured.           It will be the first time for Lee to present herself as a solo singer since her debut as part of a sibling duo with her brother Lee Chan-hyuk, six years ago.           The two first hit the entertainment scene after participating in the survival audition program “K-Pop Star Season 2” in 2012.           AKMU joined YG Entertainment after the show and made an official debut in 2014. Since then, they have released numerous songs which the pair also composed and wrote lyrics for.           “Just as you can see from the unique concept of the teaser, Lee's first solo song will be different from any expectations one might have,” said the agency.           “It will be fresh for the public as Lee will show a side she has never shown as part of AKMU before.”           BY LEE SUN-MIN   [summerlee@joongang.co.kr]   "
8,Boy group Seventeen to drop special album on Oct. 19,"

     Scenes from trailer video to signal the upcoming release of boy group Seventeen's new album ""; [Semicolon]."" [SCREEN CAPTURE]               Boy group Seventeen will drop a special album “; [Semicolon]” on Oct. 19.           The group’s agency Pledis Entertainment released the name of the new album as well as a trailer video through its official social media channels on Monday. The group’s most recent song release was in June.           In the video, members appear dressed in suits with fedora hats and start opening an invitation. They react by cheering with glasses of beer or throwing their fedoras in the air.            The video, which is titled “The Invitation for Youth ‘; [Semicolon]’” shows the phrases “Work Hard,” “Play Hard” and “Rest Hard” in a bid to encourage viewers to keep going.            BY LEE SUN-MIN   [summerlee@joongang.co.kr]   "
9,A cosmetic line fit for a princess ,"

     Based on the recent research results on a set of Princess Hwahyeop's cosmetics, the National Palace Museum of Korea, the Korea National University of Cultural Heritage and Cosmax plan to launch a K-beauty brand Princess Hwahyup by November. Left is a white porcelain octagonal flat jar with the seven treasures motifs found inside the princess's makeup box and right is the redesigned porcelain jar by the three institutions for the new K-beauty products. [CULTURAL HERITAGE ADMINISTRATION]               Today's princesses make headlines for their fashion choices. From wedding gowns to makeup looks, people love to scrutinize the royals from head to toe. So when an intact makeup box belonging to Princess Hwahyeop (1733-52) of the Joseon Dynasty (1392-1910) was unearthed in 2016 from an 18th-century tomb located in Namyangju, Gyeonggi, Koreans were thrilled at the chance of getting a glimpse into the beauty culture of Joseon’s royal court.           Born in 1733 as the seventh daughter of King Yeongjo (1694-1776), the 21st king of the Joseon Dynasty, historical records attest that Princess Hwahyeop was dearly beloved by her father, though there are disputes regarding this until today. She married Shin Gwang-su in 1743 when she was only 11 years old and was said to be beautiful, taking after her mother.            A variety of the princess's objects were accidentally discovered in her initial tomb, which was relocated in the 1970s. The items included a tombstone identifying Princess Hwahyeop as the person buried there, an epitaph written by King Yeongjo lamenting his daughter's death and the makeup box, which contained porcelain containers with cosmetic residue still inside, a mirror, a mirror case, and a water dropper among others, wrapped in cloth.               A collection of cosmetic cases and tools has been uncovered from an 18th-century tomb located in Namyangju, Gyeonggi, which belonged to Princess Hwahyeop (1733-52) who died at the age of 20 due to measles. [CULTURAL HERITAGE ADMINISTRATION]       An epitaph written by King Yeongjo lamenting his daughter's death was also discovered inside the tomb. [CULTURAL HERITAGE ADMINISTRATION]               Archeologists said that the box and its contents were able to remain intact for nearly 300 years because it was surrounded by thick tombstones when it was buried.           After years of research, the Cultural Heritage Administration recently announced the detailed materials which could have been used to produce the makeup used by the princess and added that it will create a modernized version of Princess Hwahyeop’s cosmetics using traditional materials.           “Researchers from the National Palace Museum of Korea, the National University of Cultural Heritage and Cosmax, a local cosmetics manufacturer, have been working together to create beauty products based on the result of the research,” said Kwon Hyuk-nam, an official from the National Palace Museum of Korea. Cosmax is one of the biggest suppliers to world-class cosmetics companies and the creator behind hit K-beauty items such as CC cream and cushion foundations.           “We’ll produce skin care and makeup products by using various natural ingredients to produce Princess Hwahyeop’s cosmetics while designing containers which are also inspired by the designs of the princess’s actual containers.”             The three organizations will be jointly launching a cosmetics brand called Princess Hwahyup and distributing it online from November.           “We hope to promote traditionally-inspired Korean skin care and makeup products across the globe and translate the features of royal beauty into the modern generation and amaze global consumers with great K-beauty products,” Kwon added.              Unearthed porcelain containers found inside Princess Hwahyeop's makeup box. Some of the porcelain is from China and Japan. They were found intact with cosmetic residue inside. [CULTURAL HERITAGE ADMINISTRATION]       Samples of the new K-beauty brand Princess Hwahyup which is slated to be launched in November. [CULTURAL HERITAGE ADMINISTRATION]               The three organizations signed an agreement late last month to work together until 2023 to develop and promote K-beauty products that are traditionally-based.           K-beauty has already taken the world by storm, becoming a big moneymaker for the beauty industry. Retail cosmetics stores across the world today are eager to secure shelves for Korean beauty products that range from skin care to makeup.             Analysts however, point to the growing interest in skin care across the globe that first brought K-beauty into the spotlight.            This is no surprise as Korean women, for the longest time, have been obsessed with having fair skin.            It was no exception for Princess Hwahyeop, who is said to have used a lot of her fortune on beauty products, sold by makeup saleswomen known as maebungu, who visited different houses carrying expensive makeup and skin care products from other regions.           Many of the cosmetics residue the scientists identified inside the porcelain containers of Princess Hwahyeop’s makeup box were skin care products that focused on whitening.           “As Confucian ideals were strong during the Joseon Dynasty, looking natural was defined as beautiful. Therefore, Joseon women made efforts to take care of their skin, and minimized the use of makeup,” said Lee Jun-bae from Cosmax.           “They used various natural ingredients to produce skin care products such as ground mung beans for facial scrubs, gourd stem juice for toner and apricot and peach oils for whitening. Most of the beauty products were for their skin and efforts to make them look fairer and healthier.”           Inside a porcelain bowl with a lotus scroll design, which is presumed to be from China, there was a solid, brown substance, which researchers revealed was a face cream used by the princess.           According to scientific testing, the brown material contained beeswax and other organic matters that moisturize the skin. In a white porcelain-covered bowl with wisteria design, which experts say is an import from Japan, was a white substance that may have been used as a face powder to make the skin look fairer. The main components of the white powder were lead carbonate and talc.           Although not found in Princess Hwahyeop’s beauty products, historical records state that Joseon women also used rice flour to make face powders. As for lipstick and blusher, it looks like the princess had used a red powder, which was found inside a Bunchae white porcelain cup with a floral design. The red powder contained cinnabar and safflower.              A bronze mirror was also found inside the makeup box. [CULTURAL HERITAGE ADMINISTRATION]               There was also a comb, handheld mirror, a little black stick that could have been used as a brush to apply blush, and a porcelain bowl filled with dead ants, which to this day scientists have no idea what they were used for.           Although they weren’t inside Princess Hwahyeop’s makeup box, historical records state Joseon women also made toners using vegetables such as cucumber, gourd and motherwort. As for moisturizers, they used oils from animals and plants, the most popular being camellia oil. For their eyebrows, they mixed charcoal powder with sesame oil or camellia oil.           “Sadly, a lot of toxic heavy metals were mixed together with natural ingredients to enhance the products' effects and make them last longer,” said Chung Young-jae, Heritage Conservation and Restoration Professor at the Korea National University of Cultural Heritage.             For example, by mixing lead and rice flour, face powders lasted longer and the adhesive effect was said to be better. Researchers say it was the women of the rich families or the royal court who could afford to use such powder that were imported from China while common Joseon women just used rice flour, known as baekbun.             “Of course we won’t be adding any toxic ingredients for the Princess Hwahyup products, and will instead be adding alternative ingredients commonly used in modern day cosmetics production to enhance their effects.”           The three institutions also created a character of Princess Hwahyup to promote the brand.           “We’ll develop the containers and the character from here and hopefully launch the brand in November,” said Lee from Cosmax.            “Sadly due to the coronavirus outbreak, we can’t target foreign visitors to Korea, but when they begin to visit Korea, we will distribute the products at various retail stores and souvenir shops and let the world know about what kind of products served the skin of a Joseon princess.”           BY YIM SEUNG-HYE   [sharon@joongang.co.kr]   "
